state,city,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
9,5,4,40.0,125.0,88.0
9,5,4,29.0,175.0,121.0
9,5,5,18.0,95.0,59.0
9,5,5,20.0,74.0,49.0
9,5,2,10.0,49.0,26.0
9,5,2,25.0,57.0,38.0
9,5,1,4.0,5.0,4.0
9,5,6,5.0,12.0,9.0
9,5,6,9.0,13.0,11.0
9,5,0,16.0,117.0,57.0
9,5,0,56.0,88.0,69.0
9,5,3,11.0,208.0,18.0
9,5,3,1.0,158.0,12.0
1,4,4,43.0,114.0,79.0
1,4,4,29.0,138.0,66.0
1,4,4,19.0,64.0,45.0
1,4,4,31.0,109.0,66.0
1,4,4,1.0,101.0,45.0
1,4,4,56.0,111.0,87.0
1,4,4,27.0,128.0,77.0
1,4,4,34.0,99.0,73.0
1,4,4,34.0,87.0,55.0
1,4,5,41.0,82.0,60.0
1,4,5,14.0,56.0,34.0
1,4,5,26.0,67.0,49.0
1,4,5,33.0,79.0,57.0
1,4,5,38.0,122.0,67.0
1,4,5,25.0,92.0,54.0
1,4,5,30.0,258.0,74.0
1,4,5,23.0,70.0,40.0
1,4,2,16.0,35.0,20.0
1,4,2,1.0,12.0,7.0
1,4,2,29.0,70.0,45.0
1,4,2,16.0,18.0,17.0
1,4,2,8.0,15.0,13.0
1,4,2,7.0,25.0,13.0
1,4,2,20.0,78.0,40.0
1,4,2,19.0,27.0,22.0
1,4,1,13.0,16.0,15.0
1,4,1,7.0,21.0,9.0
1,4,1,9.0,15.0,10.0
1,4,1,7.0,9.0,7.0
1,4,1,5.0,14.0,8.0
1,4,1,26.0,43.0,34.0
1,4,6,2.0,2.0,2.0
1,4,6,6.0,14.0,7.0
1,4,6,9.0,19.0,13.0
1,4,6,6.0,10.0,9.0
1,4,6,3.0,11.0,7.0
1,4,6,1.0,4.0,2.0
1,4,0,14.0,59.0,23.0
1,4,0,101.0,122.0,109.0
1,4,0,20.0,84.0,57.0
1,4,0,16.0,102.0,40.0
1,4,0,24.0,40.0,39.0
1,4,0,44.0,64.0,51.0
1,4,0,29.0,104.0,55.0
1,4,0,36.0,74.0,46.0
1,4,0,4.0,109.0,39.0
1,4,3,27.0,51.0,29.0
1,4,3,12.0,25.0,13.0
1,4,3,25.0,52.0,30.0
1,4,3,9.0,13.0,11.0
1,4,3,10.0,22.0,10.0
1,4,3,7.0,12.0,11.0
1,4,3,21.0,35.0,24.0
1,4,3,7.0,32.0,20.0
1,4,3,10.0,103.0,14.0
7,3,4,41.0,105.0,71.0
7,3,4,50.0,102.0,68.0
7,3,4,36.0,69.0,47.0
7,3,4,51.0,108.0,76.0
7,3,4,50.0,93.0,70.0
7,3,4,61.0,116.0,93.0
7,3,5,45.0,133.0,78.0
7,3,5,26.0,68.0,40.0
7,3,5,17.0,43.0,29.0
7,3,5,39.0,74.0,51.0
7,3,5,15.0,55.0,32.0
7,3,5,11.0,47.0,29.0
7,3,5,23.0,49.0,33.0
7,3,2,75.0,152.0,101.0
7,3,2,10.0,35.0,16.0
7,3,2,17.0,53.0,25.0
7,3,2,24.0,31.0,28.0
7,3,2,7.0,21.0,12.0
7,3,2,22.0,39.0,30.0
7,3,2,8.0,13.0,11.0
7,3,1,3.0,10.0,6.0
7,3,1,2.0,7.0,4.0
7,3,1,2.0,5.0,4.0
7,3,1,11.0,12.0,12.0
7,3,1,3.0,7.0,5.0
7,3,1,2.0,6.0,4.0
7,3,1,2.0,2.0,2.0
7,3,6,1.0,6.0,4.0
7,3,6,1.0,4.0,3.0
7,3,6,1.0,3.0,2.0
7,3,6,3.0,10.0,9.0
7,3,6,2.0,8.0,4.0
7,3,6,1.0,9.0,4.0
7,3,6,9.0,10.0,10.0
7,3,0,26.0,112.0,81.0
7,3,0,12.0,22.0,16.0
7,3,0,61.0,119.0,108.0
7,3,0,14.0,41.0,28.0
7,3,0,22.0,55.0,36.0
7,3,0,34.0,68.0,41.0
7,3,3,34.0,43.0,39.0
7,3,3,12.0,14.0,13.0
7,3,3,29.0,61.0,37.0
7,3,3,5.0,18.0,10.0
7,3,3,11.0,17.0,14.0
7,3,3,1.0,3.0,2.0
5,10,4,10.0,51.0,32.0
5,10,4,20.0,48.0,30.0
5,10,4,24.0,68.0,42.0
5,10,4,6.0,20.0,15.0
5,10,4,13.0,51.0,35.0
5,10,4,18.0,90.0,44.0
5,10,4,18.0,51.0,36.0
5,10,4,14.0,69.0,42.0
5,10,4,16.0,109.0,47.0
5,10,4,17.0,49.0,35.0
5,10,4,10.0,46.0,30.0
5,10,4,13.0,37.0,25.0
5,10,4,10.0,49.0,29.0
5,10,4,12.0,49.0,30.0
5,10,4,500.0,500.0,500.0
5,10,4,13.0,55.0,36.0
5,10,4,11.0,43.0,27.0
5,10,4,21.0,77.0,45.0
5,10,4,16.0,71.0,44.0
5,10,5,7.0,37.0,22.0
5,10,5,13.0,54.0,31.0
5,10,5,2.0,33.0,11.0
5,10,5,7.0,22.0,16.0
5,10,5,10.0,40.0,22.0
5,10,5,14.0,40.0,23.0
5,10,5,7.0,30.0,18.0
5,10,5,15.0,75.0,45.0
5,10,5,5.0,50.0,22.0
5,10,5,12.0,40.0,21.0
5,10,5,11.0,31.0,21.0
5,10,5,12.0,34.0,21.0
5,10,5,500.0,500.0,500.0
5,10,5,10.0,30.0,19.0
5,10,5,10.0,29.0,20.0
5,10,5,8.0,42.0,23.0
5,10,2,4.0,29.0,13.0
5,10,2,20.0,46.0,40.0
5,10,2,3.0,21.0,9.0
5,10,2,9.0,15.0,11.0
5,10,2,10.0,61.0,28.0
5,10,2,2.0,19.0,9.0
5,10,2,78.0,118.0,103.0
5,10,2,2.0,4.0,3.0
5,10,2,8.0,22.0,16.0
5,10,2,13.0,16.0,15.0
5,10,2,2.0,3.0,2.0
5,10,2,7.0,51.0,23.0
5,10,2,24.0,27.0,25.0
5,10,2,11.0,21.0,18.0
5,10,2,9.0,9.0,9.0
5,10,2,18.0,35.0,25.0
5,10,2,26.0,29.0,27.0
5,10,2,1.0,6.0,2.0
5,10,2,1.0,12.0,6.0
5,10,1,1.0,1.0,1.0
5,10,1,1.0,1.0,1.0
5,10,1,2.0,4.0,2.0
5,10,1,2.0,2.0,2.0
5,10,1,1.0,2.0,1.0
5,10,1,3.0,4.0,4.0
5,10,1,12.0,15.0,13.0
5,10,1,1.0,1.0,1.0
5,10,1,8.0,9.0,9.0
5,10,1,1.0,1.0,1.0
5,10,1,2.0,2.0,2.0
5,10,1,1.0,30.0,12.0
5,10,1,7.0,7.0,7.0
5,10,1,15.0,16.0,16.0
5,10,1,2.0,4.0,3.0
5,10,6,1.0,2.0,1.0
5,10,6,18.0,22.0,20.0
5,10,6,37.0,57.0,48.0
5,10,6,2.0,6.0,4.0
5,10,6,31.0,59.0,45.0
5,10,6,1.0,30.0,12.0
5,10,6,45.0,54.0,49.0
5,10,6,9.0,13.0,11.0
5,10,6,2.0,8.0,4.0
5,10,6,27.0,40.0,32.0
5,10,6,11.0,11.0,11.0
5,10,6,8.0,9.0,9.0
5,10,6,3.0,3.0,3.0
5,10,6,1.0,13.0,9.0
5,10,6,35.0,38.0,37.0
5,10,6,10.0,14.0,12.0
5,10,0,7.0,30.0,14.0
5,10,0,106.0,110.0,107.0
5,10,0,11.0,27.0,16.0
5,10,0,23.0,50.0,38.0
5,10,0,14.0,19.0,14.0
5,10,0,48.0,60.0,56.0
5,10,0,14.0,18.0,16.0
5,10,0,18.0,28.0,23.0
5,10,0,40.0,63.0,46.0
5,10,0,6.0,23.0,10.0
5,10,0,14.0,24.0,14.0
5,10,0,104.0,115.0,106.0
5,10,0,63.0,78.0,67.0
5,10,0,30.0,33.0,32.0
5,10,0,10.0,22.0,13.0
5,10,0,38.0,61.0,46.0
5,10,0,96.0,100.0,100.0
5,10,3,10.0,205.0,40.0
5,10,3,7.0,27.0,13.0
5,10,3,8.0,24.0,16.0
5,10,3,59.0,77.0,68.0
5,10,3,7.0,20.0,13.0
5,10,3,10.0,15.0,12.0
5,10,3,10.0,11.0,11.0
5,10,3,1.0,18.0,7.0
5,10,3,10.0,14.0,12.0
5,10,3,7.0,19.0,15.0
5,10,3,37.0,42.0,38.0
5,10,3,3.0,10.0,5.0
5,10,3,4.0,5.0,4.0
5,10,3,34.0,37.0,35.0
5,10,3,18.0,24.0,20.0
5,10,3,10.0,14.0,12.0
5,10,3,19.0,37.0,27.0
5,10,3,2.0,6.0,4.0
5,10,3,1.0,5.0,1.0
2,0,4,25.0,48.0,33.0
2,0,4,18.0,40.0,30.0
2,0,4,16.0,31.0,25.0
2,0,4,25.0,52.0,38.0
2,0,4,26.0,58.0,40.0
2,0,4,35.0,66.0,53.0
2,0,4,41.0,73.0,54.0
2,0,4,38.0,110.0,77.0
2,0,5,12.0,42.0,22.0
2,0,5,5.0,27.0,16.0
2,0,5,12.0,20.0,17.0
2,0,5,20.0,50.0,27.0
2,0,5,16.0,35.0,26.0
2,0,5,28.0,53.0,43.0
2,0,5,11.0,37.0,24.0
2,0,2,7.0,7.0,7.0
2,0,2,13.0,18.0,15.0
2,0,2,15.0,24.0,18.0
2,0,2,6.0,12.0,9.0
2,0,2,10.0,11.0,10.0
2,0,2,11.0,11.0,11.0
2,0,2,20.0,29.0,24.0
2,0,2,21.0,25.0,24.0
2,0,1,1.0,1.0,1.0
2,0,1,3.0,3.0,3.0
2,0,1,2.0,2.0,2.0
2,0,1,2.0,2.0,2.0
2,0,1,5.0,7.0,6.0
2,0,6,5.0,9.0,7.0
2,0,6,9.0,25.0,19.0
2,0,6,4.0,5.0,5.0
2,0,6,2.0,10.0,6.0
2,0,6,7.0,8.0,7.0
2,0,6,7.0,7.0,7.0
2,0,6,5.0,5.0,5.0
2,0,6,4.0,10.0,8.0
2,0,0,37.0,38.0,38.0
2,0,0,16.0,30.0,21.0
2,0,0,78.0,78.0,78.0
2,0,0,6.0,17.0,9.0
2,0,0,4.0,24.0,11.0
2,0,0,19.0,43.0,34.0
2,0,0,18.0,19.0,18.0
2,0,0,11.0,66.0,26.0
2,0,0,62.0,84.0,72.0
2,0,3,21.0,22.0,22.0
2,0,3,10.0,12.0,12.0
2,0,3,9.0,22.0,13.0
2,0,3,6.0,16.0,8.0
